datetime,temp_c,humidity,chance_of_rain,chance_of_snow
2024-06-12 00:00,24.9,84,100,0
2024-06-12 01:00,24.4,79,100,0
2024-06-12 02:00,24.3,79,100,0
2024-06-12 03:00,23.9,81,100,0
2024-06-12 04:00,23.9,81,100,0
2024-06-12 05:00,24.1,80,100,0
2024-06-12 06:00,25.1,80,100,0
2024-06-12 07:00,24.9,74,100,0
2024-06-12 08:00,26.1,66,100,0
2024-06-12 09:00,28.0,57,100,0
2024-06-12 10:00,29.3,51,100,0
2024-06-12 11:00,30.5,47,100,0
2024-06-12 12:00,31.6,44,100,0
2024-06-12 13:00,32.0,42,100,0
2024-06-12 14:00,32.9,39,100,0
2024-06-12 15:00,32.9,38,100,0
2024-06-12 16:00,30.1,43,100,0
2024-06-12 17:00,30.0,46,100,0
2024-06-12 18:00,30.6,47,100,0
2024-06-12 19:00,27.2,52,100,0
2024-06-12 20:00,27.3,55,100,0
2024-06-12 21:00,26.5,61,100,0
2024-06-12 22:00,26.5,61,100,0
2024-06-12 23:00,26.4,62,100,0
2024-06-13 00:00,23.9,87,100,0
2024-06-13 01:00,23.8,89,100,0
2024-06-13 02:00,23.4,93,100,0
2024-06-13 03:00,22.9,95,100,0
2024-06-13 04:00,23.1,92,100,0
2024-06-13 05:00,23.1,90,100,0
2024-06-13 06:00,23.5,87,100,0
2024-06-13 07:00,24.0,85,100,0
2024-06-13 08:00,25.3,84,100,0
2024-06-13 09:00,26.9,77,100,0
2024-06-13 10:00,28.0,72,100,0
2024-06-13 11:00,29.3,66,100,0
2024-06-13 12:00,29.3,70,100,0
2024-06-13 13:00,29.6,69,100,0
2024-06-13 14:00,29.0,70,100,0
2024-06-13 15:00,26.8,71,100,0
2024-06-13 16:00,26.7,72,100,0
2024-06-13 17:00,26.5,73,100,0
2024-06-13 18:00,26.3,74,100,0
2024-06-13 19:00,25.9,76,100,0
2024-06-13 20:00,25.7,76,100,0
2024-06-13 21:00,25.6,76,100,0
2024-06-13 22:00,25.5,76,100,0
2024-06-13 23:00,25.3,76,100,0
2024-06-14 00:00,25.0,73,100,0
2024-06-14 01:00,24.8,73,100,0
2024-06-14 02:00,24.4,77,100,0
2024-06-14 03:00,25.0,80,100,0
